AÑO,MUNICIPIO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,DESERCIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,Causas
2019,Venecia,Cundinamarca,793,104.41,2.45,0.52,5.43,0.96,Sin acceso a computadoras
2019,Nocaima,Cundinamarca,996,85.74,2.95,2.08,3.32,2.19,Sin acceso a computadoras
2019,Nimaima,Cundinamarca,556,86.15,3.14,2.73,3.93,0.0,Sin acceso a computadoras
2019,Nilo,Cundinamarca,1486,112.52,3.63,3.44,3.74,3.6,Sin acceso a computadoras
2019,Nemocón,Cundinamarca,2977,97.31,3.14,3.01,4.16,1.09,Sin acceso a computadoras
2019,Nariño,Cundinamarca,381,86.09,2.96,2.63,1.65,7.5,Sin acceso a computadoras
2019,Mosquera,Cundinamarca,26485,96.42,3.65,2.31,5.31,3.34,Sin acceso a computadoras
2019,Medina,Cundinamarca,1755,95.1,3.95,1.5,7.67,3.09,Sin acceso a computadoras
2019,Manta,Cundinamarca,533,91.93,0.39,0.89,0.0,0.0,Sin acceso a computadoras
2019,Madrid,Cundinamarca,22852,87.25,3.17,2.3,4.1,3.93,Sin acceso a computadoras
2019,Macheta,Cundinamarca,1022,99.9,0.66,0.24,0.99,0.62,Sin acceso a computadoras
2019,Lenguazaque,Cundinamarca,2234,89.48,2.26,1.89,2.6,2.51,Sin acceso a computadoras
2019,La Vega,Cundinamarca,3207,94.79,2.89,3.27,2.62,1.19,Sin acceso a computadoras
2019,La Peña,Cundinamarca,959,88.74,0.89,1.33,0.6,0.8,Sin acceso a computadoras
2019,La Palma,Cundinamarca,1533,89.95,1.11,0.84,1.33,0.92,Sin acceso a computadoras
2019,La Mesa,Cundinamarca,5608,93.44,2.6,2.57,3.05,0.9,Sin acceso a computadoras
2019,La Calera,Cundinamarca,5310,163.73,2.14,0.88,3.88,1.72,Sin acceso a computadoras
2019,Junín,Cundinamarca,988,84.01,1.24,1.14,2.04,0.0,Sin acceso a computadoras
2019,Jerusalén,Cundinamarca,373,104.56,2.83,2.03,4.08,4.35,Sin acceso a computadoras
2019,Gutiérrez,Cundinamarca,706,87.25,4.49,3.67,5.24,5.13,Sin acceso a computadoras
2019,Guayabetal,Cundinamarca,1339,78.49,2.49,1.6,3.65,3.7,Sin acceso a computadoras
2019,Guayabal de Siquima,Cundinamarca,795,89.81,2.67,1.83,3.47,1.83,Sin acceso a computadoras
2019,Guatavita,Cundinamarca,1210,87.27,0.9,0.65,1.24,0.64,Sin acceso a computadoras
2019,Guataquí,Cundinamarca,458,90.61,5.01,6.47,4.57,2.33,Sin acceso a computadoras
2019,Guasca,Cundinamarca,3047,97.41,2.49,1.04,2.84,5.39,Sin acceso a computadoras
2019,Guaduas,Cundinamarca,4902,97.94,1.92,2.0,1.97,0.74,Sin acceso a computadoras
2019,Guachetá,Cundinamarca,3005,92.01,4.47,2.06,7.27,7.14,Sin acceso a computadoras
2019,Granada,Cundinamarca,1579,94.36,1.18,0.98,1.13,1.15,Sin acceso a computadoras
2019,Girardot,Cundinamarca,17135,101.11,4.73,4.26,5.55,1.96,Sin acceso a computadoras
2019,Gama,Cundinamarca,595,80.84,4.53,0.0,9.0,5.8,Sin acceso a computadoras
2019,Gachetá,Cundinamarca,1433,104.12,1.61,0.95,2.37,0.99,Sin acceso a computadoras
2019,Gachancipá,Cundinamarca,3661,80.74,2.73,2.2,3.59,2.38,Sin acceso a computadoras
2019,Gachala,Cundinamarca,764,97.38,0.51,0.0,1.03,0.0,Sin acceso a computadoras
2019,Fusagasugá,Cundinamarca,24368,98.41,7.08,5.95,8.99,4.22,Sin acceso a computadoras
2019,Fúquene,Cundinamarca,932,153.86,2.33,0.53,4.57,0.46,Sin acceso a computadoras
2019,Funza,Cundinamarca,17933,103.6,1.84,1.1,2.56,1.65,Sin acceso a computadoras
2019,Fosca,Cundinamarca,1259,92.45,3.45,2.15,6.09,2.33,Sin acceso a computadoras
2019,Fomeque,Cundinamarca,2320,86.51,1.85,2.25,0.69,1.66,Sin acceso a computadoras
2019,Facatativá,Cundinamarca,27760,91.17,2.48,2.12,3.06,1.77,Sin acceso a computadoras
2019,El Rosal,Cundinamarca,4898,95.96,1.11,0.95,1.51,0.37,Sin acceso a computadoras
2019,El Peñón,Cundinamarca,874,80.89,1.07,0.7,1.0,2.11,Sin acceso a computadoras
2019,El Colegio,Cundinamarca,4206,96.62,2.35,1.65,3.1,2.24,Sin acceso a computadoras
2019,Cucunubá,Cundinamarca,1693,87.18,3.01,2.5,3.31,4.55,Sin acceso a computadoras
2019,Cota,Cundinamarca,6658,195.16,2.47,1.59,3.87,1.43,Sin acceso a computadoras
2019,Cogua,Cundinamarca,4426,91.32,1.78,1.41,2.22,0.71,Sin acceso a computadoras
2019,Chocontá,Cundinamarca,4599,88.35,1.98,1.03,2.89,2.41,Sin acceso a computadoras
2019,Choachí,Cundinamarca,2018,102.23,0.84,0.72,0.95,0.6,Sin acceso a computadoras
2019,Chipaque,Cundinamarca,1877,82.9,1.33,0.39,2.28,2.51,Sin acceso a computadoras
2019,Chía,Cundinamarca,23871,113.69,2.83,2.67,3.42,1.35,Sin acceso a computadoras
2019,Chaguaní,Cundinamarca,703,64.86,0.42,0.0,1.15,0.0,Sin acceso a computadoras
2019,Carmen de Carupa,Cundinamarca,1550,84.32,0.37,0.33,0.2,1.23,Sin acceso a computadoras
2019,Caqueza,Cundinamarca,3283,94.64,2.66,2.02,3.55,1.67,Sin acceso a computadoras
2019,Caparrapí,Cundinamarca,2219,87.38,2.16,1.7,2.45,1.75,Sin acceso a computadoras
2019,Cajicá,Cundinamarca,15861,88.22,2.41,1.45,3.17,2.27,Sin acceso a computadoras
2019,Cachipay,Cundinamarca,1783,79.58,3.45,1.78,5.18,6.62,Sin acceso a computadoras
2019,Cabrera,Cundinamarca,1080,80.46,0.82,0.24,1.79,1.1,Sin acceso a computadoras
2019,Bojacá,Cundinamarca,2116,91.59,2.2,2.17,1.9,2.4,Sin acceso a computadoras
2019,Bituima,Cundinamarca,394,101.27,1.89,0.55,3.55,0.0,Sin acceso a computadoras
2019,Beltrán,Cundinamarca,340,98.24,0.83,0.58,0.0,3.85,Sin acceso a computadoras
2019,Arbeláez,Cundinamarca,1835,98.69,1.76,2.02,0.99,1.27,Sin acceso a computadoras
2019,Anolaima,Cundinamarca,2445,100.08,2.48,1.57,3.76,1.54,Sin acceso a computadoras
2019,Anapoima,Cundinamarca,2585,94.66,3.22,1.49,4.57,4.89,Sin acceso a computadoras
2019,Albán,Cundinamarca,1172,77.47,4.34,2.99,4.94,3.88,Sin acceso a computadoras
2019,Agua de Dios,Cundinamarca,1820,101.7,1.75,1.45,2.1,1.65,Sin acceso a computadoras
2019,Valencia,Córdoba,8438,102.07,4.11,3.33,5.03,4.15,Sin acceso a computadoras
2019,Tuchín,Córdoba,14115,66.43,1.43,1.6,1.11,1.45,Sin acceso a computadoras
2019,Tierralta,Córdoba,24105,102.78,3.05,2.84,3.56,2.84,Sin acceso a computadoras
2019,San Pelayo,Córdoba,9748,78.36,3.07,1.65,3.78,3.51,Sin acceso a computadoras
2019,San José de Uré,Córdoba,3688,78.66,1.64,1.44,1.22,4.02,Sin acceso a computadoras
2019,San Carlos,Córdoba,5782,91.39,3.54,2.63,4.01,4.68,Sin acceso a computadoras
2019,San Bernardo del Viento,Córdoba,8279,83.19,1.61,1.14,1.68,1.7,Sin acceso a computadoras
2019,San Antero,Córdoba,7626,87.79,2.2,1.18,3.92,2.06,Sin acceso a computadoras
2019,San Andrés Sotavento,Córdoba,11403,85.83,2.9,1.83,3.66,3.57,Sin acceso a computadoras
2019,Sahagún,Córdoba,21614,94.81,1.31,1.08,1.46,0.78,Sin acceso a computadoras
2019,Purísima,Córdoba,3632,93.23,1.2,0.87,1.27,2.09,Sin acceso a computadoras
2019,Puerto Libertador,Córdoba,10959,90.86,3.66,3.15,4.9,2.79,Sin acceso a computadoras
2019,Puerto Escondido,Córdoba,5626,89.23,1.58,1.1,2.13,1.86,Sin acceso a computadoras
2019,Pueblo Nuevo,Córdoba,7984,80.59,2.32,1.49,3.21,2.86,Sin acceso a computadoras
2019,Planeta Rica,Córdoba,13967,105.69,3.89,2.56,5.0,5.19,Sin acceso a computadoras
2019,Moñitos,Córdoba,7270,83.18,1.41,1.08,1.97,1.21,Sin acceso a computadoras
2019,Montelíbano,Córdoba,20147,96.58,2.48,1.46,3.65,2.75,Sin acceso a computadoras
2019,Momil,Córdoba,4099,78.02,0.95,0.96,0.72,0.23,Sin acceso a computadoras
2019,Los Córdobas,Córdoba,4450,89.71,5.8,6.99,4.63,4.52,Sin acceso a computadoras
2019,Lorica,Córdoba,23243,104.68,2.47,1.91,2.88,1.67,Sin acceso a computadoras
2019,La Apartada,Córdoba,3453,85.9,3.28,3.54,2.9,4.48,Sin acceso a computadoras
2019,Cotorra,Córdoba,3701,79.47,3.37,3.24,3.01,3.31,Sin acceso a computadoras
2019,Ciénaga de Oro,Córdoba,12090,99.78,2.41,1.98,2.39,2.69,Sin acceso a computadoras
2019,Chinú,Córdoba,9002,104.73,1.7,1.26,2.02,1.87,Sin acceso a computadoras
2019,Chimá,Córdoba,3435,76.68,0.45,0.47,0.5,0.26,Sin acceso a computadoras
2019,Cereté,Córdoba,20247,96.02,2.58,1.59,2.85,1.86,Sin acceso a computadoras
2019,Canalete,Córdoba,3655,114.45,2.57,1.74,4.14,1.64,Sin acceso a computadoras
2019,Buenavista,Córdoba,5023,92.18,2.11,1.35,2.95,1.8,Sin acceso a computadoras
2019,Ayapel,Córdoba,11636,94.39,2.14,1.53,2.59,3.06,Sin acceso a computadoras
2019,Montería,Córdoba,99037,97.74,3.06,2.2,3.84,2.41,Sin acceso a computadoras
2019,Tamalameque,Cesar,4077,98.18,2.74,1.97,4.04,1.7,Sin acceso a computadoras
2019,San Martín,Cesar,6528,80.74,4.63,4.26,5.79,2.87,Sin acceso a computadoras
2019,San Diego,Cesar,4649,92.21,9.91,8.76,13.83,6.18,Sin acceso a computadoras
2019,San Alberto,Cesar,6237,82.15,4.82,3.91,5.91,5.13,Sin acceso a computadoras
2019,La Paz,Cesar,7067,97.72,8.1,7.43,8.58,3.98,Sin acceso a computadoras
2019,Río de Oro,Cesar,3525,90.72,5.07,3.9,7.29,3.3,Sin acceso a computadoras
2019,Pueblo Bello,Cesar,8681,68.47,5.4,4.61,7.05,1.59,Sin acceso a computadoras
2019,Pelaya,Cesar,5349,88.58,5.47,4.87,6.34,3.24,Sin acceso a computadoras
2019,Pailitas,Cesar,4595,86.53,2.62,3.24,1.68,1.24,Sin acceso a computadoras
2019,Manaure,Cesar,2467,101.7,4.89,3.56,5.89,4.56,Sin acceso a computadoras
2019,La Jagua de Ibirico,Cesar,12554,85.09,3.55,3.88,2.98,1.74,Sin acceso a computadoras
2019,La Gloria,Cesar,4120,85.87,4.87,5.27,4.15,3.19,Sin acceso a computadoras
2019,González,Cesar,959,88.22,4.17,2.52,7.74,2.94,Sin acceso a computadoras
2019,Gamarra,Cesar,3346,69.37,4.42,4.62,4.1,1.54,Sin acceso a computadoras
2019,El Paso,Cesar,10424,99.7,4.05,3.31,4.9,3.22,Sin acceso a computadoras
2019,El Copey,Cesar,7719,99.12,6.11,6.07,6.34,4.54,Sin acceso a computadoras
